timestamp,action,original_path,new_path
2026-03-11T09:16:21,rename,C:\Users\j.morales\Documents\file_0001.docx,C:\Users\j.morales\Documents\file_0001.docx.locked
2026-03-11T09:16:22.120000,rename,C:\Users\j.morales\Desktop\file_0002.xlsx,C:\Users\j.morales\Desktop\file_0002.xlsx.locked
2026-03-11T09:16:22.570000,rename,C:\Users\j.morales\Documents\file_0003.csv,C:\Users\j.morales\Documents\file_0003.csv.locked
2026-03-11T09:16:23.680000,rename,\\FS01-CORP\Shared\HR\file_0004.docx,\\FS01-CORP\Shared\HR\file_0004.docx.locked
2026-03-11T09:16:24.630000,rename,C:\Users\j.morales\Documents\file_0005.docx,C:\Users\j.morales\Documents\file_0005.docx.locked
2026-03-11T09:16:25.030000,rename,C:\Users\j.morales\Desktop\file_0006.jpg,C:\Users\j.morales\Desktop\file_0006.jpg.locked
2026-03-11T09:16:25.990000,rename,\\FS01-CORP\Shared\HR\file_0007.xlsx,\\FS01-CORP\Shared\HR\file_0007.xlsx.locked
2026-03-11T09:16:27.080000,rename,\\FS01-CORP\Shared\HR\file_0008.pptx,\\FS01-CORP\Shared\HR\file_0008.pptx.locked
2026-03-11T09:16:27.620000,rename,\\FS01-CORP\Shared\HR\file_0009.pdf,\\FS01-CORP\Shared\HR\file_0009.pdf.locked
2026-03-11T09:16:28.810000,rename,C:\Users\j.morales\Documents\file_0010.xlsx,C:\Users\j.morales\Documents\file_0010.xlsx.locked
2026-03-11T09:16:29.880000,rename,C:\Users\j.morales\Pictures\file_0011.pdf,C:\Users\j.morales\Pictures\file_0011.pdf.locked
2026-03-11T09:16:30.350000,rename,C:\Users\j.morales\Pictures\file_0012.docx,C:\Users\j.morales\Pictures\file_0012.docx.locked
2026-03-11T09:16:30.750000,rename,C:\Users\j.morales\Documents\file_0013.pdf,C:\Users\j.morales\Documents\file_0013.pdf.locked
2026-03-11T09:16:31.980000,rename,\\FS01-CORP\Shared\HR\file_0014.pdf,\\FS01-CORP\Shared\HR\file_0014.pdf.locked
2026-03-11T09:16:33.170000,rename,\\FS01-CORP\Shared\Finance\file_0015.jpg,\\FS01-CORP\Shared\Finance\file_0015.jpg.locked
2026-03-11T09:16:33.610000,rename,\\FS01-CORP\Shared\Finance\file_0016.docx,\\FS01-CORP\Shared\Finance\file_0016.docx.locked
2026-03-11T09:16:34.520000,rename,\\FS01-CORP\Shared\HR\file_0017.pdf,\\FS01-CORP\Shared\HR\file_0017.pdf.locked
2026-03-11T09:16:35.460000,rename,C:\Users\j.morales\Documents\file_0018.docx,C:\Users\j.morales\Documents\file_0018.docx.locked
2026-03-11T09:16:36.490000,rename,C:\Users\j.morales\Pictures\file_0019.docx,C:\Users\j.morales\Pictures\file_0019.docx.locked
2026-03-11T09:16:37.730000,rename,C:\Users\j.morales\Documents\file_0020.pptx,C:\Users\j.morales\Documents\file_0020.pptx.locked
2026-03-11T09:16:38.340000,rename,C:\Users\j.morales\Pictures\file_0021.xlsx,C:\Users\j.morales\Pictures\file_0021.xlsx.locked
2026-03-11T09:16:39.050000,rename,C:\Users\j.morales\Desktop\file_0022.csv,C:\Users\j.morales\Desktop\file_0022.csv.locked
2026-03-11T09:16:39.640000,rename,C:\Users\j.morales\Documents\file_0023.jpg,C:\Users\j.morales\Documents\file_0023.jpg.locked
2026-03-11T09:16:40.640000,rename,\\FS01-CORP\Shared\HR\file_0024.csv,\\FS01-CORP\Shared\HR\file_0024.csv.locked
2026-03-11T09:16:41.210000,rename,\\FS01-CORP\Shared\Finance\file_0025.pptx,\\FS01-CORP\Shared\Finance\file_0025.pptx.locked
2026-03-11T09:16:41.810000,rename,\\FS01-CORP\Shared\HR\file_0026.xlsx,\\FS01-CORP\Shared\HR\file_0026.xlsx.locked
2026-03-11T09:16:42.860000,rename,C:\Users\j.morales\Documents\file_0027.xlsx,C:\Users\j.morales\Documents\file_0027.xlsx.locked
2026-03-11T09:16:44.060000,rename,C:\Users\j.morales\Pictures\file_0028.pptx,C:\Users\j.morales\Pictures\file_0028.pptx.locked
2026-03-11T09:16:44.650000,rename,C:\Users\j.morales\Desktop\file_0029.jpg,C:\Users\j.morales\Desktop\file_0029.jpg.locked
2026-03-11T09:16:45.910000,rename,C:\Users\j.morales\Pictures\file_0030.xlsx,C:\Users\j.morales\Pictures\file_0030.xlsx.locked
2026-03-11T09:16:46.930000,rename,\\FS01-CORP\Shared\Finance\file_0031.csv,\\FS01-CORP\Shared\Finance\file_0031.csv.locked
2026-03-11T09:16:47.730000,rename,C:\Users\j.morales\Pictures\file_0032.xlsx,C:\Users\j.morales\Pictures\file_0032.xlsx.locked
2026-03-11T09:16:48.300000,rename,\\FS01-CORP\Shared\HR\file_0033.jpg,\\FS01-CORP\Shared\HR\file_0033.jpg.locked
2026-03-11T09:16:48.890000,rename,\\FS01-CORP\Shared\HR\file_0034.pptx,\\FS01-CORP\Shared\HR\file_0034.pptx.locked
2026-03-11T09:16:50.180000,rename,\\FS01-CORP\Shared\Finance\file_0035.pdf,\\FS01-CORP\Shared\Finance\file_0035.pdf.locked
2026-03-11T09:16:50.720000,rename,C:\Users\j.morales\Desktop\file_0036.jpg,C:\Users\j.morales\Desktop\file_0036.jpg.locked
2026-03-11T09:16:51.560000,rename,C:\Users\j.morales\Documents\file_0037.docx,C:\Users\j.morales\Documents\file_0037.docx.locked
2026-03-11T09:16:52.030000,rename,C:\Users\j.morales\Desktop\file_0038.csv,C:\Users\j.morales\Desktop\file_0038.csv.locked
2026-03-11T09:16:52.790000,rename,C:\Users\j.morales\Documents\file_0039.pptx,C:\Users\j.morales\Documents\file_0039.pptx.locked
2026-03-11T09:16:53.510000,rename,\\FS01-CORP\Shared\Finance\file_0040.jpg,\\FS01-CORP\Shared\Finance\file_0040.jpg.locked
2026-03-11T09:16:54.090000,rename,\\FS01-CORP\Shared\HR\file_0041.docx,\\FS01-CORP\Shared\HR\file_0041.docx.locked
2026-03-11T09:16:55.140000,rename,C:\Users\j.morales\Documents\file_0042.csv,C:\Users\j.morales\Documents\file_0042.csv.locked
2026-03-11T09:16:56.410000,rename,C:\Users\j.morales\Pictures\file_0043.csv,C:\Users\j.morales\Pictures\file_0043.csv.locked
2026-03-11T09:16:57.080000,rename,C:\Users\j.morales\Pictures\file_0044.pptx,C:\Users\j.morales\Pictures\file_0044.pptx.locked
2026-03-11T09:16:57.550000,rename,C:\Users\j.morales\Documents\file_0045.csv,C:\Users\j.morales\Documents\file_0045.csv.locked
2026-03-11T09:16:58.810000,rename,C:\Users\j.morales\Pictures\file_0046.jpg,C:\Users\j.morales\Pictures\file_0046.jpg.locked
2026-03-11T09:16:59.950000,rename,\\FS01-CORP\Shared\HR\file_0047.docx,\\FS01-CORP\Shared\HR\file_0047.docx.locked
2026-03-11T09:17:01.210000,rename,C:\Users\j.morales\Pictures\file_0048.csv,C:\Users\j.morales\Pictures\file_0048.csv.locked
2026-03-11T09:17:02.070000,rename,C:\Users\j.morales\Desktop\file_0049.xlsx,C:\Users\j.morales\Desktop\file_0049.xlsx.locked
2026-03-11T09:17:02.780000,rename,C:\Users\j.morales\Desktop\file_0050.jpg,C:\Users\j.morales\Desktop\file_0050.jpg.locked
2026-03-11T09:17:04.130000,rename,\\FS01-CORP\Shared\HR\file_0051.docx,\\FS01-CORP\Shared\HR\file_0051.docx.locked
2026-03-11T09:17:05.090000,rename,\\FS01-CORP\Shared\Finance\file_0052.docx,\\FS01-CORP\Shared\Finance\file_0052.docx.locked
2026-03-11T09:17:05.510000,rename,C:\Users\j.morales\Pictures\file_0053.pdf,C:\Users\j.morales\Pictures\file_0053.pdf.locked
2026-03-11T09:17:06.070000,rename,C:\Users\j.morales\Desktop\file_0054.jpg,C:\Users\j.morales\Desktop\file_0054.jpg.locked
2026-03-11T09:17:07.410000,rename,C:\Users\j.morales\Documents\file_0055.csv,C:\Users\j.morales\Documents\file_0055.csv.locked
2026-03-11T09:17:08.240000,rename,C:\Users\j.morales\Documents\file_0056.jpg,C:\Users\j.morales\Documents\file_0056.jpg.locked
2026-03-11T09:17:09.380000,rename,C:\Users\j.morales\Desktop\file_0057.csv,C:\Users\j.morales\Desktop\file_0057.csv.locked
2026-03-11T09:17:10.200000,rename,\\FS01-CORP\Shared\HR\file_0058.xlsx,\\FS01-CORP\Shared\HR\file_0058.xlsx.locked
2026-03-11T09:17:10.790000,rename,\\FS01-CORP\Shared\HR\file_0059.pptx,\\FS01-CORP\Shared\HR\file_0059.pptx.locked
2026-03-11T09:17:12.150000,rename,\\FS01-CORP\Shared\HR\file_0060.csv,\\FS01-CORP\Shared\HR\file_0060.csv.locked
2026-03-11T09:17:13.210000,rename,C:\Users\j.morales\Pictures\file_0061.pptx,C:\Users\j.morales\Pictures\file_0061.pptx.locked
2026-03-11T09:17:14.600000,rename,C:\Users\j.morales\Pictures\file_0062.pptx,C:\Users\j.morales\Pictures\file_0062.pptx.locked
2026-03-11T09:17:15.890000,rename,\\FS01-CORP\Shared\Finance\file_0063.docx,\\FS01-CORP\Shared\Finance\file_0063.docx.locked
2026-03-11T09:17:16.460000,rename,C:\Users\j.morales\Documents\file_0064.pdf,C:\Users\j.morales\Documents\file_0064.pdf.locked
2026-03-11T09:17:16.780000,rename,\\FS01-CORP\Shared\HR\file_0065.xlsx,\\FS01-CORP\Shared\HR\file_0065.xlsx.locked
2026-03-11T09:17:17.730000,rename,C:\Users\j.morales\Documents\file_0066.docx,C:\Users\j.morales\Documents\file_0066.docx.locked
2026-03-11T09:17:18.810000,rename,C:\Users\j.morales\Documents\file_0067.xlsx,C:\Users\j.morales\Documents\file_0067.xlsx.locked
2026-03-11T09:17:19.180000,rename,C:\Users\j.morales\Documents\file_0068.pdf,C:\Users\j.morales\Documents\file_0068.pdf.locked
2026-03-11T09:17:19.560000,rename,C:\Users\j.morales\Desktop\file_0069.pdf,C:\Users\j.morales\Desktop\file_0069.pdf.locked
2026-03-11T09:17:20.600000,rename,C:\Users\j.morales\Desktop\file_0070.jpg,C:\Users\j.morales\Desktop\file_0070.jpg.locked
2026-03-11T09:17:21.050000,rename,\\FS01-CORP\Shared\HR\file_0071.jpg,\\FS01-CORP\Shared\HR\file_0071.jpg.locked
2026-03-11T09:17:21.870000,rename,\\FS01-CORP\Shared\Finance\file_0072.pptx,\\FS01-CORP\Shared\Finance\file_0072.pptx.locked
2026-03-11T09:17:22.380000,rename,C:\Users\j.morales\Documents\file_0073.csv,C:\Users\j.morales\Documents\file_0073.csv.locked
2026-03-11T09:17:23.150000,rename,\\FS01-CORP\Shared\Finance\file_0074.pptx,\\FS01-CORP\Shared\Finance\file_0074.pptx.locked
2026-03-11T09:17:23.960000,rename,C:\Users\j.morales\Documents\file_0075.csv,C:\Users\j.morales\Documents\file_0075.csv.locked
2026-03-11T09:17:24.980000,rename,C:\Users\j.morales\Documents\file_0076.docx,C:\Users\j.morales\Documents\file_0076.docx.locked
2026-03-11T09:17:25.720000,rename,C:\Users\j.morales\Pictures\file_0077.docx,C:\Users\j.morales\Pictures\file_0077.docx.locked
2026-03-11T09:17:26.290000,rename,C:\Users\j.morales\Desktop\file_0078.jpg,C:\Users\j.morales\Desktop\file_0078.jpg.locked
2026-03-11T09:17:27.080000,rename,\\FS01-CORP\Shared\Finance\file_0079.xlsx,\\FS01-CORP\Shared\Finance\file_0079.xlsx.locked
2026-03-11T09:17:27.690000,rename,C:\Users\j.morales\Desktop\file_0080.docx,C:\Users\j.morales\Desktop\file_0080.docx.locked
2026-03-11T09:17:28.480000,rename,\\FS01-CORP\Shared\HR\file_0081.docx,\\FS01-CORP\Shared\HR\file_0081.docx.locked
2026-03-11T09:17:28.840000,rename,\\FS01-CORP\Shared\HR\file_0082.docx,\\FS01-CORP\Shared\HR\file_0082.docx.locked
2026-03-11T09:17:30.210000,rename,C:\Users\j.morales\Desktop\file_0083.xlsx,C:\Users\j.morales\Desktop\file_0083.xlsx.locked
2026-03-11T09:17:30.960000,rename,\\FS01-CORP\Shared\Finance\file_0084.xlsx,\\FS01-CORP\Shared\Finance\file_0084.xlsx.locked
2026-03-11T09:17:32.210000,rename,C:\Users\j.morales\Documents\file_0085.xlsx,C:\Users\j.morales\Documents\file_0085.xlsx.locked
2026-03-11T09:17:32.930000,rename,\\FS01-CORP\Shared\Finance\file_0086.pdf,\\FS01-CORP\Shared\Finance\file_0086.pdf.locked
2026-03-11T09:17:34.250000,rename,\\FS01-CORP\Shared\Finance\file_0087.pdf,\\FS01-CORP\Shared\Finance\file_0087.pdf.locked
2026-03-11T09:17:35.020000,rename,\\FS01-CORP\Shared\HR\file_0088.csv,\\FS01-CORP\Shared\HR\file_0088.csv.locked
2026-03-11T09:17:36.110000,rename,C:\Users\j.morales\Desktop\file_0089.xlsx,C:\Users\j.morales\Desktop\file_0089.xlsx.locked
2026-03-11T09:17:36.740000,rename,C:\Users\j.morales\Documents\file_0090.jpg,C:\Users\j.morales\Documents\file_0090.jpg.locked
2026-03-11T09:17:37.850000,rename,C:\Users\j.morales\Documents\file_0091.csv,C:\Users\j.morales\Documents\file_0091.csv.locked
2026-03-11T09:17:38.490000,rename,C:\Users\j.morales\Documents\file_0092.jpg,C:\Users\j.morales\Documents\file_0092.jpg.locked
2026-03-11T09:17:39.310000,rename,\\FS01-CORP\Shared\HR\file_0093.xlsx,\\FS01-CORP\Shared\HR\file_0093.xlsx.locked
2026-03-11T09:17:39.670000,rename,\\FS01-CORP\Shared\HR\file_0094.docx,\\FS01-CORP\Shared\HR\file_0094.docx.locked
